,Keywords,Frequency
1707,"friend,",1
1708,light,1
1709,civil,1
1710,"liberties,",1
1711,Communist,1
1712,Party’s,1
1713,stated,1
1714,combating,1
1715,antitrade,1
1716,politicians,1
1717,lend,1
1718,certain,1
1719,prestige,1
1720,legitimacy.,1
1721,Shortly,1
1722,"inauguration,",1
1723,presented,1
1724,rules-based,1
1725,international,1
1726,"order,",1
1727,"agreement,",1
1728,Joint,1
1729,Comprehensive,1
1730,Plan,1
1731,Action,1
1732,"Iran,",1
1733,won,1
1734,admirers,1
1735,"circles,",1
1736,unaware,1
1737,imprisonment,1
1738,Uighur,1
1739,Muslims,1
1740,crimes.,1
1741,Over,1
1742,rooted,1
1743,grow,1
1744,"power,",1
1745,explicitly,1
1746,cater,1
1747,cosmopolitan-liberal,1
1748,"sensibilities,",1
1749,likely.,1
1750,"irreversible,",1
1751,upper,1
1752,hand.,1
1753,"“other,”",1
1754,it?,1
1755,indication,1
1756,comes,1
1757,report,1
1758,Department,1
1759,"Defense,",1
1760,details,1
1761,growing,1
1762,dependence,1
1763,"base,",1
1764,poses,1
1765,country’s,1
1766,war-fighting,1
1767,capabilities.,1
1768,1990s,1
1769,"2000s,",1
1770,indictment,1
1771,"statism,",1
1772,unambiguous,1
1773,Many,1
1774,cause,1
1775,rethink,1
1776,"laissez-faire,",1
1777,eye,1
1778,meeting,1
1779,posed,1
1780,ambitions.,1
1781,"Moscow,",1
1782,No.,1
1783,"1,",1
1784,vital,1
1785,investment,1
1786,infrastructure,1
1787,human,1
1788,"capital,",1
1789,steer,1
1790,resilient,1
1791,supply,1
1792,chains,1
1793,"Americas,",1
1794,heartland.,1
1795,"rival,",1
1796,"suspect,",1
1797,lens:,1
1798,clearer,1
1799,exits,1
1800,scene.,1
1801,"Culturally,",1
1802,choosing,1
1803,ambiguous,1
1804,effects.,1
1805,xenophobic,1
1806,turn,1
1807,"immigrants,",1
1808,"visitors,",1
1809,"students,",1
1810,ugly,1
1811,consequences.,1
1812,embrace,1
1813,grounds,1
1814,authoritarianism,1
1815,narrow,1
1816,workers.,1
1817,"argument,",1
1818,"essence,",1
1819,"whole,",1
1820,inclusive,1
1821,government.,1
1822,"Indeed,",1
1823,address.,1
1824,More,1
1825,"broadly,",1
1826,waging,1
1827,place,1
1828,somewhat,1
1829,emphasis,1
1830,solidarity,1
1831,"cosmopolitanism,",1
1832,least,1
1833,disentangling,1
1834,entail,1
1835,considerable,1
1836,elite—a,1
1837,justified,1
1838,solidaristic,1
1839,terms.,1
1840,come?,1
1841,wage,1
1842,assiduously?,1
1843,answer,1
1844,depend,1
1845,small,1
1846,"guide,",1
1847,"high,",1
1848,enduring.,1
1849,Media,1
1850,Vow,1
1851,Fight,1
1852,‘Insult’,1
1853,Threaten,1
1854,‘Cold,1
1855,War’,1
1856,8,1
1857,Oct,1
1858,vowed,1
1859,weekend,1
1860,fight,1
1861,“insults”,1
1862,promised,1
1863,“new,1
1864,War”,1
1865,issue,1
1866,continuing,1
1867,produce,1
1868,“hostile,1
1869,reports,1
1870,speeches.”,1
1871,passive-aggressive,1
1872,"Sunday,",1
1873,beginning,1
1874,Thursday,1
1875,citing,1
1876,Sir,1
1877,Winston,1
1878,“Iron,1
1879,Curtain”,1
1880,dawn,1
1881,War.,1
1882,mellowed,1
1883,reflection,1
1884,high,1
1885,points,1
1886,Richard,1
1887,Nixon’s,1
1888,credit,1
1889,helping,1
1890,Ronald,1
1891,Reagan,1
1892,business.,1
1893,standard,1
1894,"soft,",1
1895,chance,1
1896,positioned,1
1897,mature,1
1898,player,1
1899,realized,1
1900,win:,1
1901,limited,1
1902,leverage,1
1903,inevitably,1
1904,stupid,1
1905,choice.,1
1906,unrealistic,1
1907,establish,1
1908,NATO-style,1
1909,organization,1
1910,target,1
1911,impossible,1
1912,isolate,1
1913,expanding,1
1914,overseas,1
1915,White,1
1916,House,1
1917,Congress,1
1918,mobilize,1
1919,society.,1
1920,Gone,1
1921,plunge,1
1922,interest.,1
1923,face,1
1924,hysterical,1
1925,"elites,",1
1926,War,1
1927,play,1
1928,tai,1
1929,chi,1
1930,wisdom,1
1931,nation.,1
1932,We,1
1933,allow,1
1934,unscrupulously,1
1935,Sea,1
1936,Taiwan,1
1937,Straits.,1
1938,way.,1
1939,continue,1
1940,deteriorating,1
1941,that.,1
1942,became,1
1943,mantra,1
1944,blinding,1
1945,speed,1
1946,Iron,1
1947,Curtain,1
1948,speech.,1
1949,pronounced,1
1950,confused,1
1951,“stinging”,1
1952,"Institute,",1
1953,filled,1
1954,"“vitriolic,",1
1955,"ruthless,",1
1956,considered,1
1957,decorous.”,1
1958,second,1
1959,invoked,1
1960,“Thucydides,1
1961,"Trap,”",1
1962,politicians.,1
1963,Trap,1
1964,theory,1
1965,posits,1
1966,ruling,1
1967,almost,1
1968,"powers,",1
1969,usually,1
1970,regret,1
1971,"nations,",1
1972,unless,1
1973,extraordinary,1
1974,avoid,1
1975,conflict.,1
1976,interpretation,1
1977,responsibility,1
1978,superpower,1
1979,refrain,1
1980,protecting,1
1981,dominance,1
1982,“contain”,1
1983,"concerned,",1
1984,everything,1
1985,possibly,1
1986,ameliorate,1
1987,aging,1
1988,"hegemon,",1
1989,decided,1
1990,“U-turn”,1
1991,urging,1
1992,“hardliners”,1
1993,commence,1
1994,defended,1
1995,ad,1
1996,Des,1
1997,Moines,1
1998,Register,1
1999,widely,1
2000,complaint,1
2001,interference,1
2002,“Where,1
2003,U.S.’,1
2004,long-hailed,1
2005,press?”,1
2006,newspaper,1
2007,aggressive,1
2008,risibly,1
2009,asked.,1
2010,similar,1
2011,"vein,",1
2012,portrayed,1
2013,merely,1
2014,“U.S.-initiated,1
2015,manipulating,1
2016,stealing,1
2017,decades.,1
2018,concluded,1
2019,beating,1
2020,goose,1
2021,Republican,1
2022,turnout,1
2023,“the,1
2024,scandal”:,1
2025,deliberately,1
2026,chose,1
2027,timing,1
2028,China-US,1
2029,ratcheting,1
2030,deliver,1
2031,inflammatory,1
2032,playing,1
2033,card,1
2034,safest,1
2035,option.,1
2036,divert,1
2037,attention,1
2038,scandal,1
2039,incite,1
2040,voters.,1
2041,These,1
2042,unfounded,1
2043,understanding,1
2044,judgment,1
2045,Sino-US,1
2046,"unprofessional,",1
2047,shallow,1
2048,"indiscreet,",1
2049,worrying.,1
2050,worsening,1
2051,atmosphere,1
2052,affects,1
2053,public’,1
2054,endangers,1
2055,safety,1
2056,interests,1
2057,leader,1
2058,accuses,1
2059,"will,",1
2060,justify,1
2061,reputation,1
2062,improve,1
2063,bilateral,1
2064,ties?,1
2065,Perhaps,1
2066,requesting,1
2067,left,1
2068,receptive,1
2069,theories,1
2070,appeals,1
2071,xenophobia,1
2072,investigation,1
2073,“Russian,1
2074,collusion”,1
2075,election.,1
